AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_8019,DVLA_IN,SUSPENDED,01-Sep-2014
AGI_7491,DVLA_IN,ACTIVE,10-Feb-2020
AGI_8433,DVLA_OUT,UNKNOWN,15-Sep-2022
AGI_5371,DVLA_OUT,ACTIVE,09-May-2017
AGI_7795,DVLA_IN,SUSPENDED,19-Feb-2017
AGI_1512,DVLA_IN,ACTIVE,14-Jun-2011
AGI_2621,DVLA_IN,ACTIVE,12-Jan-2016
AGI_3427,DVLA_IN,ACTIVE,13-Aug-2023
AGI_4610,DVLA_OUT,UNKNOWN,01-Mar-2024
AGI_9261,DVLA_IN,ACTIVE,28-Jun-2021
AGI_6967,DVLA_OUT,SUSPENDED,02-Jul-2023
AGI_9484,DVLA_OUT,UNKNOWN,21-Feb-2023
AGI_3218,DVLA_OUT,UNKNOWN,04-Apr-2012
AGI_4789,DVLA_OUT,UNKNOWN,03-Nov-2018
AGI_2427,DVLA_OUT,UNKNOWN,11-Feb-2024
