AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_5734,DWH_OUT,UNKNOWN,21-Oct-2024
AGI_4011,DWH_IN,UNKNOWN,08-Feb-2016
AGI_8381,DWH_IN,ACTIVE,16-Nov-2021
AGI_2369,DWH_IN,SUSPENDED,05-Sep-2020
AGI_7941,DWH_OUT,UNKNOWN,05-May-2012
AGI_6335,DWH_OUT,ACTIVE,08-Sep-2022
AGI_6027,DWH_IN,SUSPENDED,14-Dec-2011
AGI_7649,DWH_IN,UNKNOWN,26-May-2017
AGI_9580,DWH_OUT,ACTIVE,27-Aug-2020
AGI_8067,DWH_OUT,UNKNOWN,22-Apr-2022
AGI_4455,DWH_IN,UNKNOWN,08-Jun-2021
AGI_2583,DWH_IN,ACTIVE,27-Aug-2022
AGI_3546,DWH_OUT,ACTIVE,03-Mar-2021
AGI_2548,DWH_OUT,UNKNOWN,06-Jan-2012
