AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_5209,ELTO_OUT,SUSPENDED,01-Feb-2022
AGI_5242,ELTO_OUT,ACTIVE,04-Oct-2013
AGI_6473,ELTO_IN,SUSPENDED,22-Nov-2021
AGI_6021,ELTO_IN,ACTIVE,10-Oct-2022
AGI_1996,ELTO_IN,UNKNOWN,15-Aug-2018
AGI_7551,ELTO_IN,SUSPENDED,28-Jul-2021
AGI_6740,ELTO_OUT,ACTIVE,07-Apr-2012
AGI_4148,ELTO_OUT,ACTIVE,25-Jun-2016
AGI_7806,ELTO_OUT,SUSPENDED,01-Dec-2021
AGI_2990,ELTO_IN,UNKNOWN,23-Dec-2023
AGI_1212,ELTO_IN,ACTIVE,21-Jul-2015
AGI_6065,ELTO_IN,SUSPENDED,07-Dec-2024
AGI_5667,ELTO_IN,ACTIVE,22-Jul-2023
