AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_7798,FLOODRE_IN,UNKNOWN,07-Aug-2024
AGI_4545,FLOODRE_IN,SUSPENDED,20-Mar-2014
AGI_6244,FLOODRE_IN,UNKNOWN,28-Jul-2017
AGI_4065,FLOODRE_OUT,ACTIVE,25-Oct-2021
AGI_7248,FLOODRE_IN,UNKNOWN,01-Apr-2020
AGI_5554,FLOODRE_IN,SUSPENDED,24-Mar-2016
AGI_8664,FLOODRE_IN,UNKNOWN,19-Aug-2012
AGI_3834,FLOODRE_IN,UNKNOWN,13-Dec-2011
AGI_2798,FLOODRE_IN,ACTIVE,23-Nov-2021
AGI_1012,FLOODRE_IN,UNKNOWN,21-Oct-2014
AGI_7779,FLOODRE_IN,SUSPENDED,27-Oct-2012
AGI_4899,FLOODRE_IN,SUSPENDED,20-May-2021
AGI_6274,FLOODRE_IN,SUSPENDED,16-Nov-2021
AGI_2571,FLOODRE_OUT,UNKNOWN,09-Apr-2024
AGI_9476,FLOODRE_IN,UNKNOWN,15-Oct-2024
AGI_2037,FLOODRE_OUT,UNKNOWN,19-Jun-2020
