AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_8868,IPT_IN,ACTIVE,01-Nov-2019
AGI_5995,IPT_IN,UNKNOWN,11-Jun-2020
AGI_2947,IPT_IN,SUSPENDED,01-Dec-2016
AGI_6319,IPT_IN,ACTIVE,06-Jan-2017
AGI_7117,IPT_OUT,ACTIVE,23-Mar-2012
AGI_6350,IPT_IN,UNKNOWN,09-Jun-2024
AGI_8188,IPT_IN,SUSPENDED,26-Nov-2017
AGI_3908,IPT_OUT,SUSPENDED,09-May-2013
AGI_3256,IPT_OUT,ACTIVE,08-Feb-2022
AGI_6001,IPT_OUT,ACTIVE,27-Jul-2024
AGI_8396,IPT_OUT,UNKNOWN,11-Jan-2016
AGI_2280,IPT_OUT,SUSPENDED,25-Mar-2022
AGI_2450,IPT_IN,SUSPENDED,22-Aug-2012
AGI_1057,IPT_OUT,ACTIVE,15-Apr-2024
AGI_5625,IPT_IN,ACTIVE,25-Feb-2019
AGI_2169,IPT_OUT,ACTIVE,14-Oct-2018
AGI_6183,IPT_IN,SUSPENDED,10-Nov-2015
AGI_9504,IPT_IN,ACTIVE,11-Jan-2012
