AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_7260,MID_OUT,UNKNOWN,22-Apr-2023
AGI_5322,MID_IN,ACTIVE,27-Sep-2014
AGI_7218,MID_OUT,ACTIVE,14-Jan-2020
AGI_5079,MID_IN,ACTIVE,10-Jan-2019
AGI_3798,MID_IN,SUSPENDED,28-Jan-2022
AGI_7991,MID_IN,SUSPENDED,02-Jul-2018
AGI_4013,MID_IN,SUSPENDED,16-May-2019
AGI_4929,MID_OUT,UNKNOWN,08-Apr-2015
AGI_1116,MID_OUT,ACTIVE,01-Jan-2021
AGI_9282,MID_IN,ACTIVE,07-Apr-2017
AGI_9477,MID_OUT,SUSPENDED,16-Oct-2023
AGI_8567,MID_IN,SUSPENDED,20-Oct-2023
AGI_8204,MID_IN,SUSPENDED,03-Jan-2021
AGI_3778,MID_OUT,SUSPENDED,06-Jul-2011
AGI_5324,MID_IN,SUSPENDED,16-Oct-2018
AGI_6375,MID_OUT,ACTIVE,01-Dec-2021
