AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_8502,PAYHUB_IN,SUSPENDED,04-Mar-2023
AGI_7128,PAYHUB_OUT,ACTIVE,06-Oct-2023
AGI_8290,PAYHUB_IN,UNKNOWN,01-Nov-2019
AGI_2240,PAYHUB_IN,UNKNOWN,19-Mar-2014
AGI_3312,PAYHUB_OUT,SUSPENDED,27-Jul-2012
AGI_5180,PAYHUB_IN,UNKNOWN,15-May-2020
AGI_7739,PAYHUB_IN,SUSPENDED,28-Apr-2016
AGI_8555,PAYHUB_OUT,ACTIVE,27-Oct-2018
AGI_2277,PAYHUB_IN,ACTIVE,21-Feb-2012
AGI_4929,PAYHUB_IN,SUSPENDED,12-Apr-2023
AGI_8836,PAYHUB_OUT,ACTIVE,23-Aug-2023
AGI_6707,PAYHUB_IN,ACTIVE,25-Nov-2024
AGI_8624,PAYHUB_IN,UNKNOWN,21-Dec-2015
AGI_1664,PAYHUB_IN,SUSPENDED,24-Feb-2023
AGI_9126,PAYHUB_IN,SUSPENDED,21-Sep-2021
AGI_7767,PAYHUB_OUT,UNKNOWN,23-Nov-2013
AGI_9772,PAYHUB_OUT,UNKNOWN,14-Jun-2011
AGI_4955,PAYHUB_OUT,UNKNOWN,18-Oct-2015
AGI_5469,PAYHUB_OUT,ACTIVE,10-Dec-2020
AGI_1673,PAYHUB_OUT,UNKNOWN,09-Jul-2016
AGI_5633,PAYHUB_IN,UNKNOWN,03-Sep-2024
