AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_3383,POLARIS_MF_OUT,UNKNOWN,26-Nov-2016
AGI_2137,POLARIS_MF_IN,ACTIVE,07-Apr-2017
AGI_6934,POLARIS_MF_IN,ACTIVE,07-Dec-2015
AGI_6578,POLARIS_MF_OUT,ACTIVE,09-Feb-2019
AGI_4727,POLARIS_MF_OUT,ACTIVE,21-Nov-2011
AGI_4813,POLARIS_MF_OUT,UNKNOWN,25-Sep-2019
AGI_8716,POLARIS_MF_OUT,SUSPENDED,10-Feb-2013
AGI_7395,POLARIS_MF_OUT,SUSPENDED,15-Jan-2022
AGI_2467,POLARIS_MF_OUT,UNKNOWN,27-May-2014
AGI_2432,POLARIS_MF_IN,UNKNOWN,05-Oct-2015
AGI_7152,POLARIS_MF_IN,SUSPENDED,26-Jun-2011
AGI_2362,POLARIS_MF_IN,ACTIVE,11-Apr-2020
AGI_5677,POLARIS_MF_OUT,UNKNOWN,25-Jul-2016
AGI_9842,POLARIS_MF_IN,SUSPENDED,02-May-2019
AGI_4789,POLARIS_MF_OUT,UNKNOWN,28-Oct-2018
AGI_3795,POLARIS_MF_OUT,SUSPENDED,03-Aug-2024
AGI_2251,POLARIS_MF_OUT,ACTIVE,13-Jan-2012
AGI_7434,POLARIS_MF_IN,UNKNOWN,28-May-2013
AGI_5775,POLARIS_MF_IN,SUSPENDED,10-Sep-2020
AGI_5130,POLARIS_MF_IN,ACTIVE,14-Mar-2021
AGI_8409,POLARIS_MF_OUT,UNKNOWN,18-Aug-2013
AGI_7759,POLARIS_MF_IN,ACTIVE,07-May-2013
AGI_9159,POLARIS_MF_IN,ACTIVE,27-Oct-2020
