AGI_FIELD_ID,DIRECTION,STATUS,LAST_VERIFIED
AGI_3851,SANCTIONS_OUT,SUSPENDED,23-Apr-2020
AGI_3758,SANCTIONS_OUT,SUSPENDED,13-Feb-2018
AGI_6601,SANCTIONS_IN,ACTIVE,27-Apr-2023
AGI_8980,SANCTIONS_IN,SUSPENDED,24-Mar-2013
AGI_4024,SANCTIONS_OUT,UNKNOWN,28-Apr-2018
AGI_2828,SANCTIONS_IN,ACTIVE,11-Mar-2023
AGI_4290,SANCTIONS_IN,ACTIVE,23-Jan-2024
AGI_3045,SANCTIONS_OUT,UNKNOWN,22-Feb-2014
AGI_2021,SANCTIONS_OUT,SUSPENDED,08-Dec-2012
AGI_7988,SANCTIONS_IN,SUSPENDED,09-Dec-2023
AGI_1846,SANCTIONS_IN,ACTIVE,25-Dec-2019
AGI_6644,SANCTIONS_IN,UNKNOWN,04-Jun-2014
AGI_6201,SANCTIONS_OUT,SUSPENDED,08-Mar-2022
AGI_1057,SANCTIONS_OUT,ACTIVE,11-Sep-2019
AGI_9474,SANCTIONS_OUT,ACTIVE,27-Dec-2023
AGI_1488,SANCTIONS_IN,SUSPENDED,16-May-2013
AGI_2438,SANCTIONS_IN,UNKNOWN,25-Jan-2011
AGI_3494,SANCTIONS_IN,UNKNOWN,15-Aug-2016
AGI_7281,SANCTIONS_OUT,SUSPENDED,22-May-2022
AGI_9414,SANCTIONS_OUT,ACTIVE,03-Sep-2014
AGI_3992,SANCTIONS_OUT,SUSPENDED,25-Feb-2011
AGI_1333,SANCTIONS_OUT,ACTIVE,02-Aug-2022
