POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P45387459627C,PTY610180517,Invoice,DUPE,-6326,manual journal posted
P49169718030X,POL149936638,PolicyPeriod,DUPE,8934,see PRB-22586
P56171284013C,POL476243261,Claim,FIXED_BY_SQL,4539,see PRB-12058
P14414043873C,PTY548718006,Claim,MATCHED,0,
P50754807181C,PTY227811959,Claim,MATCHED,0,pence variance accepted per finance memo
P69336392796A,POL393848461,PolicyPeriod,FIXED_BY_SQL,8195,
P42356012481A,POL797857227,ABContact,MATCHED,0,manual journal posted
P10426405478A,POL565421308,Invoice,MATCHED,0,manual journal posted
P21955723531X,PTY841109266,PolicyPeriod,ORPHAN,8613,manual journal posted
P23790348366X,POL213455638,Invoice,DUPE,-2721,manual journal posted
P10153316325C,POL403564330,Claim,FIXED_BY_SQL,5642,wave rolled back and re-run
P92640062858A,POL490821914,ABContact,MATCHED,0,manual journal posted
P67729333367A,POL796356083,ABContact,MATCHED,0,wave rolled back and re-run
P87522406775X,POL685335147,Claim,MATCHED,0,see PRB-13147
P89088934373B,POL913996368,Claim,MATCHED,0,pence variance accepted per finance memo
P77830617295A,POL735519839,PolicyPeriod,MATCHED,0,see CHG-17159
P81320195720A,PTY989909654,Claim,MATCHED,0,manual journal posted
P55673735179B,POL910415018,PolicyPeriod,ORPHAN,7870,pence variance accepted per finance memo
P63272704220A,PTY587326254,Invoice,MATCHED,0,pence variance accepted per finance memo
P69717585341X,POL267550622,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P62933304945B,CLM576092915,Claim,MATCHED,0,
P89668360748C,PTY753061323,ABContact,MATCHED,0,pence variance accepted per finance memo
P15134421960B,CLM530707340,ABContact,ORPHAN,7444,wave rolled back and re-run
P75545590977A,PTY186437690,PolicyPeriod,MATCHED,0,
P92421048320B,PTY796975229,ABContact,DUPE,-9780,manual journal posted
P47274095218A,PTY520470075,Invoice,MATCHED,0,manual journal posted
P56297680258C,PTY186587884,Claim,FIXED_BY_SQL,6510,manual journal posted
P62844574429A,PTY743607928,ABContact,MATCHED,0,see HERIT-20285
P80527105610C,PTY613025344,Claim,MATCHED,0,manual journal posted
P56710011305C,PTY890315048,PolicyPeriod,ORPHAN,2983,manual journal posted
P15493215574B,POL244587180,PolicyPeriod,DUPE,-9949,pence variance accepted per finance memo
P84980541006C,CLM868002620,ABContact,ORPHAN,-609,pence variance accepted per finance memo
P97567434381A,PTY138601306,Invoice,DUPE,-171,
P97719163713B,POL570743112,Invoice,MATCHED,0,pence variance accepted per finance memo
P23628955177X,POL823663180,Claim,FIXED_BY_SQL,-405,pence variance accepted per finance memo
P44040972781C,PTY150026650,ABContact,MATCHED,0,
P65842398157X,POL781602897,ABContact,MATCHED,0,manual journal posted
P53481116885A,POL175661785,PolicyPeriod,ORPHAN,-9091,see INC-32879
P71175253244A,CLM650837600,Invoice,MATCHED,0,wave rolled back and re-run
P94130956132X,PTY145686355,Claim,MATCHED,0,manual journal posted
P43959895301C,PTY954882296,ABContact,ORPHAN,-564,see CHG-35316
P20463350070X,PTY450447800,Claim,MATCHED,0,pence variance accepted per finance memo
P49181274406X,POL745803237,Invoice,MATCHED,0,
P43326244443C,POL259832870,PolicyPeriod,MATCHED,0,see GWPC-42640
P79054267141C,PTY516263071,Invoice,MATCHED,0,manual journal posted
P55666475578C,POL349592946,Invoice,MATCHED,0,manual journal posted
P30132066179B,PTY795619057,PolicyPeriod,FIXED_BY_SQL,7989,
P60851539276A,POL714564320,PolicyPeriod,ORPHAN,696,pence variance accepted per finance memo
P76956440406X,POL928521214,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P26761496665X,PTY686710469,ABContact,MATCHED,0,see GWPC-28310
P31199375826X,CLM420695353,PolicyPeriod,MATCHED,0,see AGI-19423
P65519082808A,CLM412464750,ABContact,MATCHED,0,pence variance accepted per finance memo
P44492574838A,POL726414445,ABContact,MATCHED,0,
